Date,Symbol,Open,High,Low,Close,Volume
2020-01-01 00:00:00,BTC,58263.82,58263.82,54827.5,56795.49,2357104
2020-01-02 00:00:00,BTC,55219.24,58993.98,52601.74,54245.59,599881
2020-01-03 00:00:00,BTC,53822.55,57909.67,51124.33,53654.31,2165774
2020-01-06 00:00:00,BTC,59365.21,62819.15,56608.74,60124.99,389314
2020-01-07 00:00:00,BTC,61614.65,61614.65,55858.89,56345.59,966514
2020-01-08 00:00:00,BTC,55802.51,57033.54,55152.59,56215.8,2703457
2020-01-09 00:00:00,BTC,55388.01,59484.86,55125.83,55772.53,485105
2020-01-10 00:00:00,BTC,55917.46,62828.31,52861.93,57110.73,3153291
2020-01-13 00:00:00,BTC,56296.7,57351.84,54876.16,56639.16,656482
2020-01-14 00:00:00,BTC,56695.54,57927.85,53591.88,54812.31,2355987
2020-01-15 00:00:00,BTC,55179.4,60584.97,53453.64,56488.77,136686
2020-01-16 00:00:00,BTC,57509.43,58307.69,53856.0,56285.18,4344276
2020-01-17 00:00:00,BTC,56103.66,58158.61,51775.43,54300.12,417445
2020-01-20 00:00:00,BTC,50336.78,50970.37,48193.11,50283.01,1056394
2020-01-21 00:00:00,BTC,49951.4,51185.44,47260.42,48120.66,545203
2020-01-22 00:00:00,BTC,46568.94,51334.0,46568.94,47059.28,1516055
2020-01-23 00:00:00,BTC,47642.47,49359.67,43847.56,46186.73,295817
2020-01-24 00:00:00,BTC,45881.34,46158.8,43337.22,44841.52,2104058
2020-01-27 00:00:00,BTC,41090.55,41984.02,39449.35,39877.9,346102
2020-01-28 00:00:00,BTC,40296.5,40840.6,37710.55,37899.24,1543694
2020-01-29 00:00:00,BTC,37668.87,39573.68,35126.69,36900.5,816751
2020-01-30 00:00:00,BTC,36714.5,39207.5,35716.29,38124.91,1740235
2020-01-31 00:00:00,BTC,38597.39,39226.29,35819.0,36646.06,1825810
2020-02-03 00:00:00,BTC,36371.34,40809.38,35007.45,37136.18,1833859
2020-02-04 00:00:00,BTC,36818.0,38589.24,36504.43,36978.53,584445
2020-02-05 00:00:00,BTC,37361.88,38103.61,36162.18,36266.09,691884
2020-02-06 00:00:00,BTC,36656.56,37656.72,34463.82,35910.25,4927764
2020-02-07 00:00:00,BTC,36015.33,38790.2,36015.33,37548.52,7211855
2020-02-10 00:00:00,BTC,39571.13,41232.33,37768.7,40163.96,1096232
2020-02-11 00:00:00,BTC,40635.08,43621.02,39075.43,42582.76,2958645
2020-02-12 00:00:00,BTC,41925.07,44038.28,41857.21,42990.93,937205
2020-02-13 00:00:00,BTC,41248.21,45418.14,41248.21,43141.65,4378799
2020-02-14 00:00:00,BTC,42307.52,45109.21,37364.56,40785.2,6066799
2020-02-17 00:00:00,BTC,41326.22,43995.39,40421.76,42716.83,2298975
2020-02-18 00:00:00,BTC,42164.18,45924.65,40325.69,43713.65,935454
2020-02-19 00:00:00,BTC,44436.71,45947.31,42285.7,43539.71,1958353
2020-02-20 00:00:00,BTC,43932.09,44793.94,40843.02,44022.71,876938
2020-02-21 00:00:00,BTC,43371.19,44844.86,42512.23,44743.99,4197409
2020-02-24 00:00:00,BTC,46122.29,49252.92,45536.05,46942.09,3688776
2020-02-25 00:00:00,BTC,46640.43,48641.64,43243.24,47197.66,1082912
2020-02-26 00:00:00,BTC,47968.93,48569.78,44733.27,46983.04,427192
2020-02-27 00:00:00,BTC,47322.03,49833.56,43971.95,46410.16,1667998
2020-02-28 00:00:00,BTC,47467.33,50097.05,45963.79,49731.53,3072487
2020-03-02 00:00:00,BTC,53080.76,55274.05,50617.4,53857.59,1913727
2020-03-03 00:00:00,BTC,54017.88,54395.4,51934.09,51966.42,773503
2020-03-04 00:00:00,BTC,50574.09,52669.66,50364.97,51119.46,759156
2020-03-05 00:00:00,BTC,50240.43,54144.64,50103.63,51367.82,7286720
2020-03-06 00:00:00,BTC,50761.81,53730.8,50032.95,52684.7,1363076
2020-03-09 00:00:00,BTC,54615.08,55061.33,51737.15,54528.05,627484
2020-03-10 00:00:00,BTC,56767.46,56859.9,52387.89,54452.57,3601948
2020-03-11 00:00:00,BTC,53978.89,55626.05,53178.25,55426.98,2069656
2020-03-12 00:00:00,BTC,57838.59,58560.13,54561.76,56250.34,9452544
2020-03-13 00:00:00,BTC,56791.17,58270.71,53259.99,54633.42,501749
2020-03-16 00:00:00,BTC,57467.27,60383.08,56283.12,58032.57,482521
2020-03-17 00:00:00,BTC,58253.21,60429.54,54643.69,57966.36,7302414
2020-03-18 00:00:00,BTC,58372.21,60235.32,55736.95,56192.78,2158142
2020-03-19 00:00:00,BTC,57931.08,58402.59,52114.79,58348.5,1364828
2020-03-20 00:00:00,BTC,57959.43,62136.81,55886.63,57667.43,799129
2020-03-23 00:00:00,BTC,57534.29,58949.13,53624.57,56126.21,1827353
2020-03-24 00:00:00,BTC,56892.59,58356.11,54766.23,56732.58,1651144
2020-03-25 00:00:00,BTC,57022.7,62658.5,55218.36,61114.41,815470
2020-03-26 00:00:00,BTC,58451.09,62909.26,58451.09,59954.35,5070379
2020-03-27 00:00:00,BTC,58759.77,60323.51,53446.77,57787.86,1322444
2020-03-30 00:00:00,BTC,59022.34,61860.2,56604.65,59650.36,2825780
